Latitude,Longitude
-28.1360717,153.3801155
38.8654076,-121.3146264
42.12077619999999,-87.89651980000001
,
30.6405835,-92.46104679999999
44.9466362,-93.3346998
,
,
27.2665006,-80.4100928
,
,
,
31.4469358,-83.6148529
,
45.8789922,-119.8985527
26.7357847,-80.9035576
44.9332584,-122.973394
34.9674085,-80.61096959999999
,
,
47.81173,-122.1762329
30.198807,-97.6884661
,
,
51.8837409,5.2423804
48.1983892,-102.9198889
35.6190596,-98.59602459999999
43.8176073,-73.2476673
37.7357449,-122.1736203
42.6221565,-114.824872
30.3433118,-92.5163936
30.3093762,-92.52065879999999
30.1967997,-92.228644
43.2876185,-77.6847725
33.6382838,-112.1744301
,
34.1204868,-86.8926638
35.2416836,-101.6865933
33.1738174,-117.364581
-33.9975568,151.1358498
42.9821477,-78.7312354
,
,
30.4026468,-92.5001083
,
30.3071582,-92.8695082
,
38.255296,-90.91981059999999
47.7285559,-117.4565963
,
,
,
,
30.7469136,-88.27462539999999
29.6886944,-97.17849989999999
33.2794491,-111.7897697
,
27.0146041,-81.7578012
,
27.3059974,-81.36682669999999
40.6883533,-105.0296441
,
44.6930813,-69.7297634
27.9899857,-81.9629218
,
30.3935229,-92.57456379999999
30.358438,-91.88566279999999
36.9374298,-85.4502261
46.8911036,-100.6967815
38.9041198,-77.0501157
48.1300751,-95.894684
42.2328088,-84.4742483
47.1036468,-122.4404286
30.3809094,-92.4952885
,
44.8804133,-73.4299637
31.6417025,-100.3404535
,
30.4804201,-92.6043602
53.5182496,-113.4223437
34.4603381,-92.1843471
37.5609103,-120.8455382
,
40.0789321,-76.6130654
30.3638289,-92.36654999999999
42.3292849,-88.9873023
,
,
27.5208771,-81.752799
,
41.4721245,-75.710059
,
27.2786907,-81.4158162
,
38.7426907,-85.84989139999999
30.42310419999999,-92.29878769999999
33.5557601,-86.7341072
38.7659042,-90.74421199999999
30.3922144,-92.3430274
,
34.9573584,-81.10126009999999
37.8233223,-122.3042376
,
53.5047827,-113.4098696
37.9418219,-96.7515814
30.4945312,-92.36312129999999
30.3802505,-92.7050175
38.8549529,-83.11169749999999
44.7077885,-79.38626169999999
34.8400075,-102.3787163
30.7034945,-88.374988
,
44.3161099,-92.8478932
,
,
30.3859544,-92.3218158
,
36.5779132,-82.3346373
45.177656,-113.860501
45.1515471,-93.6353567
51.59621420000001,-1.2484959
,
